operaciones_ult_12m;gastos_ult_12m;limite_credito_tc;antiguedad_cliente;tasa_interes;ingresos;pct_ingreso;antiguedad_empleado;edad;estado_credito_N;estado_civil_N;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;personas_a_cargo
>74;>10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Cancelado;C;20000;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;3
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;>100k;<20;<5;<25;Cancelado;C;3500;3;ALQUILER;EDUCACIÓN;Y;ACTIVO;M;2
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;>100k;<20;5_to_10;<25;Cancelado;D;21000;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;4
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;7000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
>74;>10k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;N;8400;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;25_to_30;Cancelado;C;15250;2;HIPOTECA;PERSONAL;N;PASIVO;F;2
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;<6p;20k_to_50k;<20;<5;<25;Cancelado;C;3000;3;ALQUILER;SALUD;N;ACTIVO;F;1
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;25_to_30;Cancelado;C;5200;3;PROPIA;EDUCACIÓN;N;ACTIVO;F;2
50_to_75;1k_to_4k;<3k;<25y;6p_to_12p;20k_to_50k;20_to_40;NA;<25;Cancelado;S;8000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;0
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;5000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;4500;3;HIPOTECA;PERSONAL;N;ACTIVO;F;2
50_to_75;4k_to_6k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Activo;C;7750;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;3
50_to_75;1k_to_4k;<3k;<25y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Activo;C;7000;2;ALQUILER;SALUD;Y;PASIVO;F;4
>74;1k_to_4k;<3k;<25y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;5000;2;PROPIA;INVERSIONES;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;40_to_60;NA;25_to_30;Cancelado;S;17500;3;PROPIA;MEJORAS_HOGAR;N;ACTIVO;F;4
>74;6k_to_8k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Cancelado;C;13375;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;2
>74;8k_to_10k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;<25;Activo;S;12000;2;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;M;2
15_to_30;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;<25;Cancelado;N;20500;3;ALQUILER;EDUCACIÓN;Y;ACTIVO;M;3
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;7200;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;4
50_to_75;4k_to_6k;<3k;25y_to_50y;<6p;50k_to_100k;<20;<5;<25;Cancelado;S;6000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;<20k;<20;<5;<25;Cancelado;C;1200;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;7000;2;ALQUILER;INVERSIONES;N;ACTIVO;F;0
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;7000;3;HIPOTECA;PAGO_DEUDAS;N;PASIVO;M;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;N;10000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;25_to_30;Activo;S;18000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;4
>74;>10k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;25_to_30;Cancelado;C;12000;4;HIPOTECA;PERSONAL;N;ACTIVO;F;3
>74;>10k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;D;9000;2;ALQUILER;PERSONAL;N;ACTIVO;F;5
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;25_to_30;Cancelado;C;16000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;2
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Cancelado;C;20000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
>74;>10k;>10k;<25y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;D;6625;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;0
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;25_to_30;Cancelado;S;6650;3;ALQUILER;INVERSIONES;N;ACTIVO;F;2
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;S;4500;3;ALQUILER;PAGO_DEUDAS;N;PASIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;6500;2;ALQUILER;PERSONAL;N;ACTIVO;F;2
50_to_75;4k_to_6k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;5000;2;ALQUILER;PERSONAL;N;ACTIVO;M;3
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;S;3200;2;ALQUILER;PERSONAL;N;ACTIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;<5;25_to_30;Activo;D;25000;4;ALQUILER;SALUD;Y;ACTIVO;M;2
50_to_75;4k_to_6k;3k_to_5k;<25y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;N;4500;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;2500;2;ALQUILER;EDUCACIÓN;Y;PASIVO;F;3
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Cancelado;C;6000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;9000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;0
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;>10;25_to_30;Cancelado;C;12000;3;HIPOTECA;SALUD;N;ACTIVO;M;4
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Activo;D;4900;2;ALQUILER;SALUD;N;ACTIVO;M;0
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;4000;4;ALQUILER;SALUD;N;ACTIVO;F;5
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;3000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Activo;C;5125;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;2
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Cancelado;C;1200;4;ALQUILER;PERSONAL;N;ACTIVO;F;2
30_to_50;1k_to_4k;<3k;<25y;12p_to_18p;>100k;<20;<5;<25;Cancelado;C;19000;2;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;2
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;>10;25_to_30;Cancelado;C;6600;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;1500;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;5
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;25_to_30;Activo;C;4000;2;ALQUILER;SALUD;Y;PASIVO;M;4
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;6000;3;ALQUILER;INVERSIONES;N;ACTIVO;M;3
50_to_75;1k_to_4k;>10k;<25y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;3000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;4500;4;ALQUILER;PERSONAL;N;ACTIVO;M;4
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;D;7000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;4
>74;4k_to_6k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;7200;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;7000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;6800;2;ALQUILER;INVERSIONES;N;ACTIVO;F;5
>74;8k_to_10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;C;16800;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;5
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Activo;S;23400;2;ALQUILER;INVERSIONES;N;ACTIVO;F;3
>74;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;D;6000;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;7200;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;1
50_to_75;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;40_to_60;<5;<25;Cancelado;S;12000;3;HIPOTECA;EDUCACIÓN;Y;ACTIVO;F;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;5000;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;4
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;4000;2;HIPOTECA;SALUD;N;PASIVO;M;2
50_to_75;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;5000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;2
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;6000;3;PROPIA;EDUCACIÓN;N;ACTIVO;F;3
>74;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;6000;4;HIPOTECA;PERSONAL;N;ACTIVO;M;1
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;25_to_30;Cancelado;S;5550;2;PROPIA;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;D;5400;3;ALQUILER;SALUD;N;ACTIVO;F;1
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;>100k;<20;<5;25_to_30;Cancelado;N;20000;3;ALQUILER;INVERSIONES;N;ACTIVO;F;4
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;25_to_30;Cancelado;C;3000;3;PROPIA;INVERSIONES;N;ACTIVO;F;3
>74;8k_to_10k;5k_to_10k;25y_to_50y;<6p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;3000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;M;3
50_to_75;4k_to_6k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;C;9000;3;PROPIA;EDUCACIÓN;Y;PASIVO;F;2
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Activo;S;6600;2;HIPOTECA;SALUD;N;ACTIVO;F;1
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;<5;<25;Cancelado;C;18000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;M;2
15_to_30;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;>100k;<20;5_to_10;<25;Cancelado;S;22000;4;ALQUILER;MEJORAS_HOGAR;Y;ACTIVO;M;5
>74;4k_to_6k;<3k;25y_to_50y;<6p;50k_to_100k;<20;5_to_10;<25;Cancelado;D;3000;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;3
30_to_50;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;5_to_10;25_to_30;Activo;N;25000;2;ALQUILER;PERSONAL;N;ACTIVO;M;4
50_to_75;4k_to_6k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;40_to_60;5_to_10;<25;Cancelado;S;15000;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;1
30_to_50;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;6000;4;ALQUILER;EDUCACIÓN;N;PASIVO;M;0
30_to_50;1k_to_4k;>10k;>50y;12p_to_18p;50k_to_100k;20_to_40;<5;25_to_30;Activo;C;24000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;0
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;D;6000;3;PROPIA;SALUD;N;ACTIVO;F;1
>74;4k_to_6k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;D;3000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
>74;8k_to_10k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;10000;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;9000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;1
30_to_50;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;>60;<5;<25;Activo;C;25000;3;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;1
30_to_50;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;<20;<5;<25;Activo;S;2400;4;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;M;2
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;D;1000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;2
>74;>10k;>10k;25y_to_50y;6p_to_12p;<20k;20_to_40;<5;25_to_30;Activo;N;5000;3;ALQUILER;INVERSIONES;N;ACTIVO;M;2
>74;4k_to_6k;3k_to_5k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;6500;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;D;6000;2;HIPOTECA;PERSONAL;N;ACTIVO;M;3
30_to_50;1k_to_4k;<3k;25y_to_50y;12p_to_18p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;5000;2;ALQUILER;INVERSIONES;Y;PASIVO;F;4
>74;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;5000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;1
30_to_50;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;4000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;9600;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
15_to_30;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;25_to_30;Activo;C;20000;3;ALQUILER;PERSONAL;N;ACTIVO;M;4
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;6000;3;HIPOTECA;PERSONAL;N;ACTIVO;F;1
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;1000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
50_to_75;4k_to_6k;5k_to_10k;>50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;9000;4;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;0
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;>10;25_to_30;Cancelado;C;6300;3;ALQUILER;PERSONAL;N;ACTIVO;F;5
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;4800;2;ALQUILER;PERSONAL;N;ACTIVO;F;1
>74;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;2000;3;ALQUILER;INVERSIONES;N;ACTIVO;M;2
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;6400;4;PROPIA;PERSONAL;N;ACTIVO;F;5
>74;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;5600;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;2
15_to_30;<1k;>10k;25y_to_50y;6p_to_12p;<20k;20_to_40;<5;25_to_30;Activo;C;3000;3;PROPIA;SALUD;N;ACTIVO;M;2
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;NA;<25;Cancelado;S;5500;4;HIPOTECA;SALUD;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;5000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;3
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;7200;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;3
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;8600;3;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;2
50_to_75;1k_to_4k;5k_to_10k;<25y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;S;12000;3;ALQUILER;PERSONAL;N;ACTIVO;F;0
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;25_to_30;Cancelado;S;5000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;3
>74;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;C;4000;4;ALQUILER;INVERSIONES;N;ACTIVO;M;4
>74;>10k;3k_to_5k;25y_to_50y;<6p;50k_to_100k;<20;<5;<25;Cancelado;C;8000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;M;2
>74;>10k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;8400;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
50_to_75;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;<5;25_to_30;Activo;C;12000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;M;0
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;NA;<25;Activo;C;8500;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
30_to_50;1k_to_4k;<3k;<25y;6p_to_12p;>100k;20_to_40;<5;<25;Cancelado;S;22000;3;ALQUILER;PERSONAL;N;ACTIVO;M;0
50_to_75;1k_to_4k;3k_to_5k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;C;7000;4;PROPIA;INVERSIONES;N;ACTIVO;M;3
50_to_75;4k_to_6k;>10k;>50y;6p_to_12p;20k_to_50k;<20;NA;25_to_30;Cancelado;S;3500;4;ALQUILER;INVERSIONES;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;C;6000;2;HIPOTECA;INVERSIONES;N;ACTIVO;F;3
50_to_75;1k_to_4k;>10k;25y_to_50y;12p_to_18p;50k_to_100k;<20;<5;<25;Cancelado;C;6000;2;PROPIA;INVERSIONES;N;ACTIVO;F;2
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;C;11000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;5
>74;8k_to_10k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;8000;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;5
>74;1k_to_4k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;20_to_40;5_to_10;<25;Cancelado;S;11000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;F;3
50_to_75;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;5_to_10;<25;Cancelado;S;6000;3;ALQUILER;INVERSIONES;Y;ACTIVO;F;2
30_to_50;1k_to_4k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;C;2000;4;HIPOTECA;PERSONAL;N;ACTIVO;M;3
15_to_30;1k_to_4k;<3k;>50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Activo;C;11200;4;HIPOTECA;INVERSIONES;N;ACTIVO;F;0
50_to_75;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;4000;3;HIPOTECA;PERSONAL;N;ACTIVO;F;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;6000;3;HIPOTECA;PERSONAL;N;ACTIVO;F;3
>74;>10k;>10k;25y_to_50y;<6p;50k_to_100k;<20;<5;<25;Cancelado;S;10000;4;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
>74;6k_to_8k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;N;10000;2;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;2
50_to_75;1k_to_4k;5k_to_10k;>50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;<25;Cancelado;D;12250;4;PROPIA;INVERSIONES;N;ACTIVO;M;0
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;<5;<25;Cancelado;S;6000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;2
15_to_30;1k_to_4k;5k_to_10k;25y_to_50y;12p_to_18p;50k_to_100k;20_to_40;>10;25_to_30;Activo;C;25000;2;ALQUILER;PERSONAL;Y;ACTIVO;M;1
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;20k_to_50k;20_to_40;5_to_10;25_to_30;Cancelado;D;7000;2;ALQUILER;SALUD;N;ACTIVO;M;4
>74;4k_to_6k;<3k;<25y;6p_to_12p;50k_to_100k;<20;5_to_10;25_to_30;Cancelado;C;6000;3;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;4
50_to_75;4k_to_6k;5k_to_10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;<5;<25;Cancelado;S;7000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;M;4
50_to_75;1k_to_4k;<3k;25y_to_50y;12p_to_18p;20k_to_50k;20_to_40;5_to_10;<25;Activo;C;14000;3;ALQUILER;INVERSIONES;N;ACTIVO;M;1
>74;1k_to_4k;>10k;25y_to_50y;6p_to_12p;20k_to_50k;<20;<5;<25;Cancelado;S;4000;3;ALQUILER;EDUCACIÓN;N;ACTIVO;M;3
15_to_30;1k_to_4k;>10k;25y_to_50y;12p_to_18p;20k_to_50k;40_to_60;<5;25_to_30;Activo;S;25000;3;ALQUILER;EDUCACIÓN;Y;ACTIVO;M;2
>74;4k_to_6k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;C;5000;4;ALQUILER;EDUCACIÓN;N;ACTIVO;F;4
>74;>10k;3k_to_5k;<25y;12p_to_18p;50k_to_100k;<20;<5;<25;Activo;N;8400;2;ALQUILER;PERSONAL;N;ACTIVO;M;1
>74;>10k;>10k;25y_to_50y;6p_to_12p;50k_to_100k;<20;5_to_10;<25;Cancelado;S;8000;4;HIPOTECA;INVERSIONES;N;ACTIVO;M;2
50_to_75;6k_to_8k;3k_to_5k;<25y;6p_to_12p;50k_to_100k;<20;<5;<25;Activo;C;9525;3;HIPOTECA;SALUD;Y;PASIVO;M;0
>74;6k_to_8k;<3k;25y_to_50y;6p_to_12p;50k_to_100k;<20;NA;<25;Cancelado;N;5600;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;2
